franchisor_name,legal_franchisee_name,number_of_units,state
Wendy's,"HAZA FOODS, LLC",126,Texas
Wendy's,"HAZA FOODS OF LOUISIANA, LLC",85,Louisiana
Wendy's,"WENDELTA, INC.",83,Mississippi
Wendy's,"HAZA FOODS OF NORTHEAST, LLC",79,Ohio
Wendy's,BURGER MANAGEMENT SYSTEMS WASHINGTON INC.,64,Washington
Wendy's,"CAROLINA RESTAURANT GROUP, INC.",62,North Carolina
Wendy's,WEND NEW JERSEY LLC,59,New Jersey
Wendy's,"916 FOODS OPS, LLC",57,Texas
Wendy's,"HAZA FOODS OF NORTHEAST, LLC",57,New York
Wendy's,WM LIMITED PARTNERSHIP-1998,57,Michigan
Wendy's,"COTTI FOODS CALIFORNIA, INC.",56,California
Wendy's,"CAROLINA RESTAURANT GROUP, INC.",55,South Carolina
Wendy's,"BRIDGEMAN FOODS II, INC.",54,Wisconsin
Wendy's,W.K.S. FROSTY CORPORATION,54,California
Wendy's,WEND SALT LAKE CITY LLC,54,Utah
Wendy's,"WEN SOUTH, LLC",53,Florida
Wendy's,"FOURJAY, L.L.C.",52,Arkansas
Wendy's,W.K.S. FROSTY CORPORATION,51,Texas
Wendy's,"ARIZONA RESTAURANT COMPANY, LLC",50,Arizona
Wendy's,HAZA FOODS OF MINNESOTA LLC,49,Minnesota
Wendy's,WEND CENTRAL MARYLAND LLC,46,Maryland
Wendy's,"WENDYS OF BOWLING GREEN, INC.",43,Tennessee
Wendy's,"WEN GEORGIA, LLC",42,Georgia
Wendy's,WEND BALTIMORE SOUTH LLC,42,Virginia
Wendy's,"WENDYS OF COLORADO SPRINGS, INC.",41,Colorado
Wendy's,"WENDYS OF MISSOURI, INC.",41,Missouri
Wendy's,CALATLANTA LLC,40,Georgia
Wendy's,"CONTINENTAL FOOD MANAGEMENT, INC.",40,California
Wendy's,"WENCO HOLDINGS, LLC",40,Florida
Wendy's,"WENDELTA, INC.",40,Alabama
Wendy's,WEN NATIONAL LLC,39,Michigan
Wendy's,"M & J RESTAURANTS, INC.",35,Kentucky
Wendy's,"VP RESTAURANTS, LLC",34,Georgia
Wendy's,"SQUARE PATTY OF OHIO, LLC",33,Ohio
Wendy's,WEND BALTIMORE NORTH LLC,33,Maryland
Wendy's,FFC LIMITED PARTNERSHIP,32,North Carolina
Wendy's,"PATTMAN, LLC",32,Kentucky
Wendy's,"SOUTHEAST FOOD SERVICES COMPANY, LLC",32,Tennessee
Wendy's,"SQUARE PATTY, LLC",32,Texas
Wendy's,WEND INDIANA LLC,32,Indiana
Wendy's,FFC LIMITED PARTNERSHIP,31,South Carolina
Wendy's,"WEN TENNESSEE, LLC",31,Tennessee
Wendy's,WENEVADA LLC,31,Nevada
Wendy's,HARRISBURG LIV BACON LLC,30,Pennsylvania
Wendy's,"INSPIRED BY OPPORTUNITY, LLC",30,Connecticut
Wendy's,"LEGACY RESTAURANT GROUP, LLC",30,Kansas
Wendy's,WEND PENNSYLVANIA LLC,29,Pennsylvania
Wendy's,"WENDELTA, INC.",29,Louisiana
Wendy's,"WENDYS OF NEW ENGLAND, LLC",29,Massachusetts
Wendy's,"COTTI FOODS MIDWEST, INC.",28,Kansas
